readout,norm,cosine_to_anatomical,seed,learning_foods,frozen_foods,favours_learning
anatomical,1.414,1.0,1,4.2347,9.9787,0
anatomical,1.414,1.0,2,3.3227,0.4373,1
anatomical,1.414,1.0,3,2.5213,1.7307,1
anatomical,1.414,1.0,4,3.4200,2.9800,1
anatomical,1.414,1.0,5,2.9800,2.7573,1
anatomical,1.414,1.0,6,2.2493,0.9227,1
anatomical,1.414,1.0,7,4.2280,3.0387,1
anatomical,1.414,1.0,8,7.0547,3.3547,1
anatomical_scaled,7.82,1.0,1,9.9187,11.2893,0
anatomical_scaled,7.82,1.0,2,9.6680,0.2400,1
anatomical_scaled,7.82,1.0,3,5.8453,1.9200,1
anatomical_scaled,7.82,1.0,4,8.3320,6.3600,1
anatomical_scaled,7.82,1.0,5,11.2027,6.9333,1
anatomical_scaled,7.82,1.0,6,8.2347,0.5707,1
anatomical_scaled,7.82,1.0,7,3.0347,0.5320,1
anatomical_scaled,7.82,1.0,8,9.8880,10.4680,0
rotated,7.82,-0.028,1,12.8267,9.4320,1
rotated,7.82,-0.028,2,12.2013,11.5600,1
rotated,7.82,-0.028,3,11.3733,8.3667,1
rotated,7.82,-0.028,4,4.4813,2.7040,1
rotated,7.82,-0.028,5,17.2720,16.7093,1
rotated,7.82,-0.028,6,2.8213,0.2600,1
rotated,7.82,-0.028,7,6.6493,1.3080,1
rotated,7.82,-0.028,8,9.4827,4.1013,1
ppo,7.82,-0.178,1,10.6013,0.4413,1
ppo,7.82,-0.178,2,11.4387,8.9013,1
ppo,7.82,-0.178,3,13.3960,12.8747,1
ppo,7.82,-0.178,4,0.3320,0.5813,0
ppo,7.82,-0.178,5,8.0973,0.8493,1
ppo,7.82,-0.178,6,0.4080,0.2093,1
ppo,7.82,-0.178,7,4.4960,2.3640,1
ppo,7.82,-0.178,8,0.2107,0.1947,1
