arm,source,reach,seed,learning_foods,frozen_foods
plastic_readout,random projection,all 302,1,16.056000,11.480000
plastic_readout,random projection,all 302,2,12.328000,0.341333
plastic_readout,random projection,all 302,3,14.577333,1.977333
plastic_readout,random projection,all 302,4,10.810667,4.009333
plastic_readout,random projection,all 302,5,18.634667,2.560000
plastic_readout,random projection,all 302,6,14.276000,0.669333
plastic_readout,random projection,all 302,7,14.704000,2.674667
plastic_readout,random projection,all 302,8,9.653333,3.450667
plastic_readout,random projection,all 302,9,17.324000,1.840000
plastic_readout,random projection,all 302,10,8.689333,1.585333
plastic_readout,random projection,all 302,11,13.768000,2.290667
plastic_readout,random projection,all 302,12,16.526667,0.669333
plastic_readout,random projection,all 302,13,9.108000,0.758667
plastic_readout,random projection,all 302,14,14.214667,1.901333
plastic_readout,random projection,all 302,15,13.390667,0.658667
plastic_readout,random projection,all 302,16,14.744000,0.774667
readout_only,random projection,all 302,1,19.280000,11.480000
readout_only,random projection,all 302,2,18.809333,0.341333
readout_only,random projection,all 302,3,18.809333,1.977333
readout_only,random projection,all 302,4,18.521333,4.009333
readout_only,random projection,all 302,5,19.494667,2.560000
readout_only,random projection,all 302,6,17.708000,0.669333
readout_only,random projection,all 302,7,16.684000,2.674667
readout_only,random projection,all 302,8,18.149333,3.450667
readout_only,random projection,all 302,9,17.930667,1.840000
readout_only,random projection,all 302,10,18.580000,1.585333
readout_only,random projection,all 302,11,19.008000,2.290667
readout_only,random projection,all 302,12,16.421333,0.669333
readout_only,random projection,all 302,13,10.753333,0.758667
readout_only,random projection,all 302,14,15.529333,1.901333
readout_only,random projection,all 302,15,17.532000,0.658667
readout_only,random projection,all 302,16,17.909333,0.774667
random,random projection,all 302,1,9.473333,11.480000
random,random projection,all 302,2,15.692000,0.341333
random,random projection,all 302,3,0.268000,1.977333
random,random projection,all 302,4,4.488000,4.009333
random,random projection,all 302,5,0.184000,2.560000
random,random projection,all 302,6,0.361333,0.669333
random,random projection,all 302,7,0.561333,2.674667
random,random projection,all 302,8,2.106667,3.450667
random,random projection,all 302,9,1.653333,1.840000
random,random projection,all 302,10,2.068000,1.585333
random,random projection,all 302,11,0.525333,2.290667
random,random projection,all 302,12,0.302667,0.669333
random,random projection,all 302,13,3.113333,0.758667
random,random projection,all 302,14,0.616000,1.901333
random,random projection,all 302,15,1.229333,0.658667
random,random projection,all 302,16,5.056000,0.774667
scalar,none (L = 1),all 302,1,1.309333,11.480000
scalar,none (L = 1),all 302,2,1.582667,0.341333
scalar,none (L = 1),all 302,3,1.793333,1.977333
scalar,none (L = 1),all 302,4,1.536000,4.009333
scalar,none (L = 1),all 302,5,2.257333,2.560000
scalar,none (L = 1),all 302,6,2.044000,0.669333
scalar,none (L = 1),all 302,7,1.712000,2.674667
scalar,none (L = 1),all 302,8,2.384000,3.450667
scalar,none (L = 1),all 302,9,1.333333,1.840000
scalar,none (L = 1),all 302,10,1.838667,1.585333
scalar,none (L = 1),all 302,11,1.752000,2.290667
scalar,none (L = 1),all 302,12,1.369333,0.669333
scalar,none (L = 1),all 302,13,1.377333,0.758667
scalar,none (L = 1),all 302,14,2.224000,1.901333
scalar,none (L = 1),all 302,15,1.586667,0.658667
scalar,none (L = 1),all 302,16,1.397333,0.774667
symmetric,readout transpose,the 39-unit pool,1,16.162667,11.480000
symmetric,readout transpose,the 39-unit pool,2,15.030667,0.341333
symmetric,readout transpose,the 39-unit pool,3,12.606667,1.977333
symmetric,readout transpose,the 39-unit pool,4,14.976000,4.009333
symmetric,readout transpose,the 39-unit pool,5,17.576000,2.560000
symmetric,readout transpose,the 39-unit pool,6,13.866667,0.669333
symmetric,readout transpose,the 39-unit pool,7,10.042667,2.674667
symmetric,readout transpose,the 39-unit pool,8,16.374667,3.450667
symmetric,readout transpose,the 39-unit pool,9,10.364000,1.840000
symmetric,readout transpose,the 39-unit pool,10,10.848000,1.585333
symmetric,readout transpose,the 39-unit pool,11,14.346667,2.290667
symmetric,readout transpose,the 39-unit pool,12,15.560000,0.669333
symmetric,readout transpose,the 39-unit pool,13,10.993333,0.758667
symmetric,readout transpose,the 39-unit pool,14,10.912000,1.901333
symmetric,readout transpose,the 39-unit pool,15,10.160000,0.658667
symmetric,readout transpose,the 39-unit pool,16,14.705333,0.774667
random_motor,random projection,the 39-unit pool,1,3.726667,11.480000
random_motor,random projection,the 39-unit pool,2,8.818667,0.341333
random_motor,random projection,the 39-unit pool,3,2.261333,1.977333
random_motor,random projection,the 39-unit pool,4,4.628000,4.009333
random_motor,random projection,the 39-unit pool,5,0.344000,2.560000
random_motor,random projection,the 39-unit pool,6,0.390667,0.669333
random_motor,random projection,the 39-unit pool,7,1.184000,2.674667
random_motor,random projection,the 39-unit pool,8,7.269333,3.450667
random_motor,random projection,the 39-unit pool,9,1.868000,1.840000
random_motor,random projection,the 39-unit pool,10,2.309333,1.585333
random_motor,random projection,the 39-unit pool,11,2.018667,2.290667
random_motor,random projection,the 39-unit pool,12,0.702667,0.669333
random_motor,random projection,the 39-unit pool,13,6.174667,0.758667
random_motor,random projection,the 39-unit pool,14,1.214667,1.901333
random_motor,random projection,the 39-unit pool,15,0.976000,0.658667
random_motor,random projection,the 39-unit pool,16,8.676000,0.774667
