arm,rate,node_noise,seed,score,modulator,mean_abs_delta,alignment,alignment_decay,alignment_floor
node_perturbation_annealed,0.001,0.2,1,-0.488804,0.002062,0.00025075,0.065225,0.094517,0.035933
analytic,,,1,-0.133228,nan,nan,0.751704,nan,0.751704
hebbian,,,1,-0.633146,1.000000,0.00064507,0.016201,nan,0.016201
three_factor,0.0001,,1,-0.620905,0.001919,0.00002274,0.081289,nan,0.081289
three_factor,0.001,,1,-0.637617,0.001886,0.00015356,-0.016959,nan,-0.016959
three_factor,0.01,,1,-0.649793,0.001876,0.00127814,-0.012521,nan,-0.012521
node_perturbation,0.001,0.01,1,-0.696361,0.001929,0.00026906,0.004261,nan,0.004261
node_perturbation,0.001,0.05,1,-0.486988,0.002030,0.00025725,0.067957,nan,0.067957
node_perturbation,0.001,0.2,1,-0.209873,0.002081,0.00023294,0.226578,nan,0.226578
eprop_symmetric,0.0001,,1,-0.262141,0.002100,0.00002119,0.667438,nan,0.667438
eprop_symmetric,0.001,,1,-0.135703,0.002230,0.00022933,0.151702,nan,0.151702
eprop_symmetric,0.01,,1,-0.142905,0.002096,0.00228417,0.003498,nan,0.003498
eprop_random,0.0001,,1,-1.081062,0.001860,0.00002146,-0.409574,nan,-0.409574
eprop_random,0.001,,1,-1.539739,0.001770,0.00022527,-0.115786,nan,-0.115786
eprop_random,0.01,,1,-1.570958,0.001850,0.00256272,-0.041524,nan,-0.041524
eprop_scalar,0.0001,,1,-0.867660,0.001946,0.00003334,-0.081434,nan,-0.081434
eprop_scalar,0.001,,1,-0.668850,0.001932,0.00039355,0.025099,nan,0.025099
eprop_scalar,0.01,,1,-0.668876,0.001944,0.00398973,0.004152,nan,0.004152
node_perturbation_annealed,0.001,0.2,2,-0.298471,0.002302,0.00022978,0.167410,0.256105,0.078715
analytic,,,2,-0.142358,nan,nan,0.313483,nan,0.313483
hebbian,,,2,-0.907773,1.000000,0.00055021,-0.019723,nan,-0.019723
three_factor,0.0001,,2,-0.771364,0.002057,0.00001812,0.066382,nan,0.066382
three_factor,0.001,,2,-0.757443,0.002094,0.00004068,0.025258,nan,0.025258
three_factor,0.01,,2,-0.756140,0.002072,0.00023370,0.001436,nan,0.001436
node_perturbation,0.001,0.01,2,-0.646867,0.002173,0.00025322,0.053164,nan,0.053164
node_perturbation,0.001,0.05,2,-0.282246,0.002321,0.00023834,0.183695,nan,0.183695
node_perturbation,0.001,0.2,2,-0.201502,0.002368,0.00022135,0.243783,nan,0.243783
eprop_symmetric,0.0001,,2,-0.181373,0.002270,0.00002063,0.729171,nan,0.729171
eprop_symmetric,0.001,,2,-0.150591,0.002182,0.00021137,0.136489,nan,0.136489
eprop_symmetric,0.01,,2,-0.154713,0.001886,0.00214602,0.052739,nan,0.052739
eprop_random,0.0001,,2,-0.520319,0.002179,0.00002829,0.323383,nan,0.323383
eprop_random,0.001,,2,-0.437608,0.002233,0.00027262,0.067704,nan,0.067704
eprop_random,0.01,,2,-0.438930,0.002127,0.00270024,0.021352,nan,0.021352
