arm,seed,auc_foods,auc_success,episodes_to_30pct_success,episodes_to_90pct_foods_plateau,primary_censored
wild_type,1,18.926667,0.755000,309.000000,328.000000,0
wild_type,2,18.089667,0.560000,471.000000,472.000000,0
wild_type,3,17.886333,0.497333,498.000000,464.000000,0
wild_type,4,17.848000,0.483333,430.000000,384.000000,0
wild_type,5,19.169000,0.812667,172.000000,234.000000,0
wild_type,6,16.791333,0.364333,813.000000,604.000000,0
wild_type,7,15.957667,0.258000,1218.000000,536.000000,0
wild_type,8,17.449667,0.457667,372.000000,372.000000,0
wild_type,9,17.368667,0.386667,634.000000,522.000000,0
wild_type,10,18.038667,0.638000,357.000000,408.000000,0
wild_type,11,18.386667,0.600000,360.000000,401.000000,0
wild_type,12,16.005000,0.238333,1914.000000,206.000000,0
wild_type,13,11.063333,0.039333,3000.000000,249.000000,1
wild_type,14,14.228000,0.086000,3000.000000,1084.000000,1
wild_type,15,17.146667,0.594000,225.000000,281.000000,0
wild_type,16,17.010000,0.486333,647.000000,591.000000,0
wild_type,17,16.690333,0.534000,477.000000,749.000000,0
wild_type,18,15.971667,0.193667,1758.000000,502.000000,0
wild_type,19,14.312000,0.271333,1386.000000,1386.000000,0
wild_type,20,17.589667,0.444333,554.000000,550.000000,0
wild_type,21,16.545333,0.457333,591.000000,816.000000,0
wild_type,22,15.955667,0.216667,1589.000000,221.000000,0
wild_type,23,7.935667,0.009000,3000.000000,867.000000,1
wild_type,24,19.457000,0.847333,202.000000,224.000000,0
wild_type,25,16.561333,0.452000,528.000000,1.000000,0
wild_type,26,14.941333,0.158667,3000.000000,245.000000,1
wild_type,27,16.404000,0.297333,1250.000000,309.000000,0
wild_type,28,18.129000,0.628333,358.000000,383.000000,0
wild_type,29,17.850000,0.628667,361.000000,394.000000,0
wild_type,30,18.906333,0.785333,217.000000,236.000000,0
wild_type,31,14.263000,0.098667,3000.000000,822.000000,1
wild_type,32,16.791000,0.479667,582.000000,616.000000,0
rewired_null,1,19.279667,0.835667,109.000000,214.000000,0
rewired_null,2,19.310667,0.827667,229.000000,282.000000,0
rewired_null,3,18.691333,0.645667,249.000000,281.000000,0
rewired_null,4,18.355000,0.563333,302.000000,308.000000,0
rewired_null,5,16.346333,0.301000,1622.000000,584.000000,0
rewired_null,6,16.770000,0.450333,432.000000,419.000000,0
rewired_null,7,18.373667,0.565000,457.000000,467.000000,0
rewired_null,8,14.377000,0.319333,1497.000000,1892.000000,0
rewired_null,9,17.186667,0.367333,819.000000,501.000000,0
rewired_null,10,17.765333,0.532000,270.000000,289.000000,0
rewired_null,11,11.207333,0.065333,3000.000000,284.000000,1
rewired_null,12,17.076333,0.314333,749.000000,462.000000,0
rewired_null,13,14.961333,0.333333,779.000000,692.000000,0
rewired_null,14,19.160667,0.806667,232.000000,332.000000,0
rewired_null,15,14.969333,0.297333,1083.000000,679.000000,0
rewired_null,16,18.730333,0.742333,269.000000,320.000000,0
rewired_null,17,12.789000,0.178000,1568.000000,930.000000,0
rewired_null,18,18.304000,0.587333,392.000000,390.000000,0
rewired_null,19,18.238333,0.618000,250.000000,345.000000,0
rewired_null,20,18.348000,0.718667,401.000000,454.000000,0
rewired_null,21,15.044000,0.267000,1124.000000,1007.000000,0
rewired_null,22,18.746333,0.749000,126.000000,259.000000,0
rewired_null,23,16.529667,0.450667,676.000000,831.000000,0
rewired_null,24,19.463000,0.901667,176.000000,248.000000,0
rewired_null,25,18.762333,0.780000,247.000000,292.000000,0
rewired_null,26,18.581000,0.647000,219.000000,239.000000,0
rewired_null,27,19.000000,0.844667,287.000000,337.000000,0
rewired_null,28,16.601333,0.289000,924.000000,374.000000,0
rewired_null,29,18.282667,0.639333,361.000000,408.000000,0
rewired_null,30,17.963333,0.597000,409.000000,419.000000,0
rewired_null,31,17.621000,0.483333,892.000000,904.000000,0
rewired_null,32,17.429333,0.486333,481.000000,474.000000,0
