cell,arm,seed,auc_foods,auc_success,episodes_to_30pct_success,episodes_to_90pct_foods_plateau,primary_censored
thermal,wild_type,65,19.232000,0.902000,2.000000,196.000000,0
thermal,wild_type,66,17.983000,0.755667,350.000000,461.000000,0
thermal,wild_type,67,17.957333,0.800333,478.000000,584.000000,0
thermal,wild_type,68,12.939333,0.457333,246.000000,334.000000,0
thermal,wild_type,69,18.516000,0.826000,339.000000,407.000000,0
thermal,wild_type,70,18.567000,0.825667,214.000000,321.000000,0
thermal,wild_type,71,18.056333,0.778333,469.000000,555.000000,0
thermal,wild_type,72,18.955667,0.857333,228.000000,312.000000,0
thermal,wild_type,73,18.805667,0.835667,206.000000,290.000000,0
thermal,wild_type,74,18.309000,0.787667,336.000000,404.000000,0
thermal,wild_type,75,17.402667,0.728333,454.000000,561.000000,0
thermal,wild_type,76,18.934000,0.798667,170.000000,254.000000,0
thermal,wild_type,77,18.664667,0.823333,237.000000,322.000000,0
thermal,wild_type,78,17.624000,0.733000,247.000000,395.000000,0
thermal,wild_type,79,18.267333,0.806333,366.000000,453.000000,0
thermal,wild_type,80,18.626667,0.832000,264.000000,520.000000,0
thermal,wild_type,81,16.275000,0.659667,852.000000,951.000000,0
thermal,wild_type,82,17.738333,0.731333,268.000000,899.000000,0
thermal,wild_type,83,18.418667,0.814333,386.000000,497.000000,0
thermal,wild_type,84,18.734000,0.846000,172.000000,263.000000,0
thermal,wild_type,85,18.900667,0.829667,223.000000,351.000000,0
thermal,wild_type,86,18.238333,0.795000,302.000000,403.000000,0
thermal,wild_type,87,18.430333,0.829333,304.000000,406.000000,0
thermal,wild_type,88,17.291667,0.733667,524.000000,618.000000,0
thermal,wild_type,89,18.696667,0.810333,285.000000,361.000000,0
thermal,wild_type,90,18.475667,0.800667,281.000000,392.000000,0
thermal,wild_type,91,18.732333,0.817000,301.000000,450.000000,0
thermal,wild_type,92,18.461000,0.831667,341.000000,423.000000,0
thermal,wild_type,93,17.658667,0.727333,532.000000,699.000000,0
thermal,wild_type,94,18.988333,0.880667,198.000000,322.000000,0
thermal,wild_type,95,18.874333,0.846000,214.000000,315.000000,0
thermal,wild_type,96,18.956000,0.834000,106.000000,540.000000,0
thermal,rewired_null,65,17.279667,0.661000,473.000000,779.000000,0
thermal,rewired_null,66,16.308333,0.635667,618.000000,962.000000,0
thermal,rewired_null,67,11.860667,0.245667,2128.000000,2181.000000,0
thermal,rewired_null,68,16.675333,0.639333,610.000000,797.000000,0
thermal,rewired_null,69,18.039667,0.713000,356.000000,1109.000000,0
thermal,rewired_null,70,17.690667,0.701333,472.000000,686.000000,0
thermal,rewired_null,71,19.082333,0.877667,105.000000,230.000000,0
thermal,rewired_null,72,17.239667,0.653000,482.000000,613.000000,0
thermal,rewired_null,73,15.408333,0.489333,760.000000,1816.000000,0
thermal,rewired_null,74,17.781000,0.722000,533.000000,632.000000,0
thermal,rewired_null,75,18.058333,0.709333,344.000000,466.000000,0
thermal,rewired_null,76,16.343000,0.561667,1168.000000,1425.000000,0
thermal,rewired_null,77,16.209333,0.606000,707.000000,853.000000,0
thermal,rewired_null,78,17.789000,0.726333,265.000000,380.000000,0
thermal,rewired_null,79,15.401667,0.526667,1065.000000,1221.000000,0
thermal,rewired_null,80,17.787667,0.599667,289.000000,1486.000000,0
thermal,rewired_null,81,15.955333,0.580667,634.000000,910.000000,0
thermal,rewired_null,82,17.721000,0.677667,359.000000,666.000000,0
thermal,rewired_null,83,14.692000,0.451667,1554.000000,1673.000000,0
thermal,rewired_null,84,17.726000,0.742333,468.000000,623.000000,0
thermal,rewired_null,85,17.184667,0.567667,379.000000,1720.000000,0
thermal,rewired_null,86,14.775000,0.483667,1444.000000,1752.000000,0
thermal,rewired_null,87,12.188333,0.331667,1901.000000,2008.000000,0
thermal,rewired_null,88,17.725333,0.673000,309.000000,540.000000,0
thermal,rewired_null,89,15.966667,0.532000,1151.000000,1400.000000,0
thermal,rewired_null,90,19.010000,0.870667,242.000000,303.000000,0
thermal,rewired_null,91,18.703333,0.817667,256.000000,350.000000,0
thermal,rewired_null,92,17.709333,0.679667,760.000000,866.000000,0
thermal,rewired_null,93,18.078333,0.752667,314.000000,410.000000,0
thermal,rewired_null,94,18.811000,0.778667,130.000000,424.000000,0
thermal,rewired_null,95,14.252000,0.416667,1600.000000,1936.000000,0
thermal,rewired_null,96,18.241000,0.705000,252.000000,359.000000,0
hard_food,wild_type,65,17.722667,0.463667,223.000000,331.000000,0
hard_food,wild_type,66,17.153667,0.438667,411.000000,445.000000,0
hard_food,wild_type,67,17.052333,0.424333,1398.000000,1399.000000,0
hard_food,wild_type,68,17.190000,0.390000,1391.000000,1392.000000,0
hard_food,wild_type,69,17.366333,0.464667,384.000000,455.000000,0
