wiring,width,seed,auc_foods,auc_success,episodes_to_30pct_success,episodes_to_90pct_foods_plateau,primary_censored
wt,pooled,1,18.926667,0.755000,309.000000,328.000000,0
wt,pooled,2,18.089667,0.560000,471.000000,472.000000,0
wt,pooled,3,17.886333,0.497333,498.000000,464.000000,0
wt,pooled,4,17.848000,0.483333,430.000000,384.000000,0
wt,pooled,5,19.169000,0.812667,172.000000,234.000000,0
wt,pooled,6,16.791333,0.364333,813.000000,604.000000,0
wt,pooled,7,15.957667,0.258000,1218.000000,536.000000,0
wt,pooled,8,17.449667,0.457667,372.000000,372.000000,0
wt,pooled,9,17.368667,0.386667,634.000000,522.000000,0
wt,pooled,10,18.038667,0.638000,357.000000,408.000000,0
wt,pooled,11,18.386667,0.600000,360.000000,401.000000,0
wt,pooled,12,16.005000,0.238333,1914.000000,206.000000,0
wt,pooled,13,11.063333,0.039333,3000.000000,249.000000,1
wt,pooled,14,14.228000,0.086000,3000.000000,1084.000000,1
wt,pooled,15,17.146667,0.594000,225.000000,281.000000,0
wt,pooled,16,17.010000,0.486333,647.000000,591.000000,0
wt,pooled,17,16.690333,0.534000,477.000000,749.000000,0
wt,pooled,18,15.971667,0.193667,1758.000000,502.000000,0
wt,pooled,19,14.312000,0.271333,1386.000000,1386.000000,0
wt,pooled,20,17.589667,0.444333,554.000000,550.000000,0
wt,pooled,21,16.545333,0.457333,591.000000,816.000000,0
wt,pooled,22,15.955667,0.216667,1589.000000,221.000000,0
wt,pooled,23,7.935667,0.009000,3000.000000,867.000000,1
wt,pooled,24,19.457000,0.847333,202.000000,224.000000,0
wt,pooled,25,16.561333,0.452000,528.000000,1.000000,0
wt,pooled,26,14.941333,0.158667,3000.000000,245.000000,1
wt,pooled,27,16.404000,0.297333,1250.000000,309.000000,0
wt,pooled,28,18.129000,0.628333,358.000000,383.000000,0
wt,pooled,29,17.850000,0.628667,361.000000,394.000000,0
wt,pooled,30,18.906333,0.785333,217.000000,236.000000,0
wt,pooled,31,14.263000,0.098667,3000.000000,822.000000,1
wt,pooled,32,16.791000,0.479667,582.000000,616.000000,0
wt,pooled,33,16.219667,0.272333,1057.000000,802.000000,0
wt,pooled,34,14.585333,0.297667,663.000000,575.000000,0
wt,pooled,35,19.032333,0.731333,225.000000,268.000000,0
wt,pooled,36,17.102333,0.524000,379.000000,504.000000,0
wt,pooled,37,18.331000,0.604667,319.000000,359.000000,0
wt,pooled,38,18.666000,0.770333,221.000000,286.000000,0
wt,pooled,39,4.705667,0.000667,3000.000000,627.000000,1
wt,pooled,40,13.553667,0.094667,3000.000000,528.000000,1
wt,pooled,41,18.553667,0.654333,387.000000,427.000000,0
wt,pooled,42,18.460667,0.693667,243.000000,353.000000,0
wt,pooled,43,14.401333,0.112000,3000.000000,428.000000,1
wt,pooled,44,17.285000,0.539000,661.000000,844.000000,0
wt,pooled,45,16.474000,0.290333,1235.000000,532.000000,0
wt,pooled,46,17.454000,0.415667,435.000000,384.000000,0
wt,pooled,47,18.294000,0.647333,314.000000,368.000000,0
wt,pooled,48,14.762000,0.290333,802.000000,420.000000,0
wt,pooled,49,18.145667,0.536333,425.000000,428.000000,0
wt,pooled,50,13.667000,0.098667,3000.000000,563.000000,1
wt,pooled,51,18.782667,0.639000,396.000000,382.000000,0
wt,pooled,52,12.417667,0.130333,3000.000000,529.000000,1
wt,pooled,53,16.106333,0.405000,457.000000,388.000000,0
wt,pooled,54,16.187333,0.252000,781.000000,447.000000,0
wt,pooled,55,16.167333,0.463667,320.000000,290.000000,0
wt,pooled,56,15.650000,0.294667,1278.000000,1278.000000,0
wt,pooled,57,16.075667,0.244000,1111.000000,390.000000,0
wt,pooled,58,16.391000,0.303333,814.000000,567.000000,0
wt,pooled,59,17.898000,0.542000,368.000000,327.000000,0
wt,pooled,60,14.247000,0.073333,3000.000000,358.000000,1
wt,pooled,61,18.237000,0.640333,279.000000,305.000000,0
wt,pooled,62,16.710333,0.395667,708.000000,373.000000,0
wt,pooled,63,18.556667,0.672667,258.000000,347.000000,0
wt,pooled,64,14.992333,0.293000,1035.000000,916.000000,0
wt,pooled,65,18.922667,0.773667,160.000000,220.000000,0
wt,pooled,66,17.612667,0.577333,383.000000,462.000000,0
wt,pooled,67,5.820333,0.000000,3000.000000,2113.000000,1
wt,pooled,68,17.254667,0.384000,636.000000,338.000000,0
wt,pooled,69,18.800333,0.729000,341.000000,389.000000,0
wt,pooled,70,15.317000,0.179000,3000.000000,347.000000,1
wt,pooled,71,16.027667,0.230000,1220.000000,711.000000,0
wt,pooled,72,17.542333,0.447333,542.000000,477.000000,0
wt,pooled,73,16.561333,0.293667,1634.000000,531.000000,0
wt,pooled,74,15.778000,0.188000,1999.000000,230.000000,0
wt,pooled,75,11.258000,0.034333,3000.000000,790.000000,1
wt,pooled,76,16.944000,0.364667,750.000000,2.000000,0
