condition,wiring,seed,auc_foods,auc_success,episodes_to_30pct_success,episodes_to_90pct_foods_plateau,primary_censored
atlas,wt,1,15.038667,0.455667,531.000000,541.000000,0
atlas,wt,2,19.056000,0.755333,96.000000,215.000000,0
atlas,wt,3,11.471667,0.069000,3000.000000,2465.000000,1
atlas,wt,4,16.694000,0.356667,519.000000,470.000000,0
atlas,wt,5,19.160000,0.813667,43.000000,255.000000,0
atlas,wt,6,19.114667,0.793000,202.000000,237.000000,0
atlas,wt,7,17.554667,0.537000,442.000000,447.000000,0
atlas,wt,8,16.601333,0.463000,908.000000,980.000000,0
atlas,wt,9,15.275333,0.417667,514.000000,436.000000,0
atlas,wt,10,17.046000,0.541333,556.000000,566.000000,0
atlas,wt,11,14.324667,0.287667,1110.000000,955.000000,0
atlas,wt,12,14.693000,0.178333,2116.000000,593.000000,0
atlas,wt,13,15.871667,0.264000,1209.000000,561.000000,0
atlas,wt,14,18.042333,0.691667,96.000000,103.000000,0
atlas,wt,15,5.210333,0.003000,3000.000000,595.000000,1
atlas,wt,16,14.327333,0.139333,3000.000000,514.000000,1
atlas,wt,17,17.540333,0.705667,123.000000,223.000000,0
atlas,wt,18,16.127667,0.484333,326.000000,331.000000,0
atlas,wt,19,15.230667,0.359333,677.000000,674.000000,0
atlas,wt,20,18.939000,0.753333,325.000000,351.000000,0
atlas,wt,21,11.495667,0.166667,1925.000000,1657.000000,0
atlas,wt,22,18.793333,0.720667,266.000000,337.000000,0
atlas,wt,23,13.883333,0.230000,1579.000000,1093.000000,0
atlas,wt,24,17.819000,0.530000,426.000000,413.000000,0
atlas,wt,25,18.616667,0.795333,284.000000,341.000000,0
atlas,wt,26,19.330667,0.859333,172.000000,274.000000,0
atlas,wt,27,18.653333,0.762333,6.000000,102.000000,0
atlas,wt,28,15.315000,0.429000,762.000000,780.000000,0
atlas,wt,29,19.595333,0.914000,126.000000,214.000000,0
atlas,wt,30,19.513667,0.892667,90.000000,216.000000,0
atlas,wt,31,17.644333,0.530000,477.000000,421.000000,0
atlas,wt,32,19.096000,0.798000,312.000000,380.000000,0
atlas,wt,33,15.343667,0.223667,1629.000000,854.000000,0
atlas,wt,34,18.164667,0.723667,135.000000,380.000000,0
atlas,wt,35,17.708333,0.491000,440.000000,438.000000,0
atlas,wt,36,6.876000,0.011667,3000.000000,1279.000000,1
atlas,wt,37,8.166000,0.014000,3000.000000,701.000000,1
atlas,wt,38,8.490000,0.101333,3000.000000,1.000000,1
atlas,wt,39,13.586667,0.107000,3000.000000,1256.000000,1
atlas,wt,40,17.165667,0.606667,316.000000,722.000000,0
atlas,wt,41,17.720000,0.574333,463.000000,423.000000,0
atlas,wt,42,18.189333,0.659000,300.000000,400.000000,0
atlas,wt,43,16.763333,0.513333,517.000000,550.000000,0
atlas,wt,44,8.892333,0.045667,3000.000000,847.000000,1
atlas,wt,45,13.296667,0.239000,919.000000,523.000000,0
atlas,wt,46,16.465333,0.343333,889.000000,816.000000,0
atlas,wt,47,12.273000,0.184333,2048.000000,1353.000000,0
atlas,wt,48,15.857000,0.472000,748.000000,1102.000000,0
atlas,wt,49,18.051333,0.583333,365.000000,402.000000,0
atlas,wt,50,14.191333,0.173667,2094.000000,1182.000000,0
atlas,wt,51,19.280667,0.835667,119.000000,205.000000,0
atlas,wt,52,1.201000,0.000333,3000.000000,1.000000,1
atlas,wt,53,18.747000,0.714333,383.000000,398.000000,0
atlas,wt,54,16.224000,0.521333,521.000000,378.000000,0
atlas,wt,55,12.857333,0.196000,1897.000000,923.000000,0
atlas,wt,56,13.697667,0.173000,2365.000000,1325.000000,0
atlas,wt,57,18.620000,0.676667,278.000000,313.000000,0
