rate,width,wiring,seed,auc_foods,auc_success,episodes_to_30pct_success,episodes_to_90pct_foods_plateau,primary_censored
1e-4,pooled,wt,1,16.382333,0.268000,1609.000000,1330.000000,0
1e-4,pooled,wt,2,13.420667,0.058333,3000.000000,1739.000000,1
1e-4,pooled,wt,3,13.466667,0.079000,3000.000000,1654.000000,1
1e-4,pooled,wt,4,14.815000,0.114667,3000.000000,945.000000,1
1e-4,pooled,wt,5,17.300333,0.470000,972.000000,976.000000,0
1e-4,pooled,wt,6,13.089000,0.075000,3000.000000,1026.000000,1
1e-4,pooled,wt,7,11.273333,0.056000,3000.000000,1711.000000,1
1e-4,pooled,wt,8,14.669333,0.144333,3000.000000,852.000000,1
1e-4,pooled,wt,9,14.282000,0.094333,3000.000000,1455.000000,1
1e-4,pooled,wt,10,13.627333,0.128000,2618.000000,1756.000000,0
1e-4,pooled,wt,11,15.788667,0.252667,1543.000000,1029.000000,0
1e-4,pooled,wt,12,14.409333,0.125000,3000.000000,513.000000,1
1e-4,pooled,wt,13,8.127000,0.008667,3000.000000,1849.000000,1
1e-4,pooled,wt,14,10.111333,0.005333,3000.000000,1584.000000,1
1e-4,pooled,wt,15,12.767667,0.223667,1914.000000,1725.000000,0
1e-4,pooled,wt,16,9.177333,0.011000,3000.000000,2291.000000,1
1e-4,pooled,wt,17,9.653000,0.026667,3000.000000,2331.000000,1
1e-4,pooled,wt,18,10.962000,0.012667,3000.000000,2090.000000,1
1e-4,pooled,wt,19,6.494333,0.000000,3000.000000,2382.000000,1
1e-4,pooled,wt,20,14.031000,0.085667,3000.000000,1358.000000,1
1e-4,pooled,wt,21,9.593333,0.014000,3000.000000,2209.000000,1
1e-4,pooled,wt,22,14.543000,0.122000,3000.000000,591.000000,1
1e-4,pooled,wt,23,3.293333,0.000000,3000.000000,2464.000000,1
1e-4,pooled,wt,24,17.865000,0.517000,465.000000,445.000000,0
1e-4,pooled,wt,25,13.006667,0.089333,3000.000000,1.000000,1
1e-4,pooled,wt,26,12.811667,0.079000,3000.000000,982.000000,1
1e-4,pooled,wt,27,14.038667,0.119000,3000.000000,956.000000,1
1e-4,pooled,wt,28,13.067333,0.125333,2737.000000,1501.000000,0
1e-4,pooled,wt,29,14.631667,0.250667,1809.000000,1526.000000,0
1e-4,pooled,wt,30,16.099000,0.297000,1512.000000,1052.000000,0
1e-4,pooled,wt,31,12.073000,0.053667,3000.000000,849.000000,1
1e-4,pooled,wt,32,9.809333,0.031667,3000.000000,1823.000000,1
1e-4,pooled,wt,33,10.682000,0.013000,3000.000000,1853.000000,1
1e-4,pooled,wt,34,9.198667,0.019667,3000.000000,1865.000000,1
1e-4,pooled,wt,35,15.251000,0.226333,1993.000000,1265.000000,0
1e-4,pooled,wt,36,13.043000,0.130000,2631.000000,1844.000000,0
1e-4,pooled,wt,37,14.786000,0.147000,2642.000000,1418.000000,0
1e-4,pooled,wt,38,14.923667,0.286333,1520.000000,1382.000000,0
1e-4,pooled,wt,39,2.561667,0.000000,3000.000000,2.000000,1
1e-4,pooled,wt,40,8.129333,0.002667,3000.000000,2003.000000,1
1e-4,pooled,wt,41,15.263000,0.156000,2355.000000,1389.000000,0
1e-4,pooled,wt,42,15.765333,0.322333,1335.000000,1312.000000,0
1e-4,pooled,wt,43,11.298333,0.019333,3000.000000,1685.000000,1
1e-4,pooled,wt,44,8.715000,0.024333,3000.000000,1791.000000,1
1e-4,pooled,wt,45,11.721000,0.033333,3000.000000,2034.000000,1
1e-4,pooled,wt,46,14.887667,0.134333,2930.000000,940.000000,0
1e-4,pooled,wt,47,14.200667,0.162667,2586.000000,1586.000000,0
1e-4,pooled,wt,48,10.062000,0.064333,3000.000000,2312.000000,1
1e-4,pooled,wt,49,15.818000,0.182333,1964.000000,1045.000000,0
1e-4,pooled,wt,50,3.160667,0.000000,3000.000000,28.000000,1
1e-4,pooled,wt,51,16.314667,0.243333,1697.000000,1202.000000,0
1e-4,pooled,wt,52,8.206333,0.005000,3000.000000,2244.000000,1
1e-4,pooled,wt,53,12.579333,0.126333,2538.000000,1752.000000,0
1e-4,pooled,wt,54,14.105667,0.086667,3000.000000,1062.000000,1
1e-4,pooled,wt,55,13.594000,0.161667,2327.000000,1850.000000,0
1e-4,pooled,wt,56,12.148000,0.041333,3000.000000,1118.000000,1
1e-4,pooled,wt,57,13.450667,0.080000,3000.000000,1214.000000,1
1e-4,pooled,wt,58,10.625000,0.008000,3000.000000,1868.000000,1
1e-4,pooled,wt,59,14.625667,0.149333,2134.000000,1368.000000,0
1e-4,pooled,wt,60,11.496667,0.018333,3000.000000,1196.000000,1
1e-4,pooled,wt,61,15.331667,0.251000,1596.000000,1150.000000,0
1e-4,pooled,wt,62,13.137667,0.092333,2965.000000,1529.000000,0
1e-4,pooled,wt,63,15.967667,0.297667,1496.000000,1315.000000,0
1e-4,pooled,wt,64,7.692333,0.000667,3000.000000,1940.000000,1
1e-4,pooled,wt,65,16.846333,0.436667,904.000000,865.000000,0
1e-4,pooled,wt,66,12.698000,0.127333,2258.000000,1647.000000,0
1e-4,pooled,wt,67,3.779000,0.000000,3000.000000,58.000000,1
1e-4,pooled,wt,68,14.187333,0.137333,3000.000000,1209.000000,1
1e-4,pooled,wt,69,14.660000,0.146333,2576.000000,1608.000000,0
1e-4,pooled,wt,70,12.249667,0.038667,3000.000000,1.000000,1
1e-4,pooled,wt,71,10.353667,0.010667,3000.000000,2076.000000,1
1e-4,pooled,wt,72,12.252667,0.042000,3000.000000,1176.000000,1
1e-4,pooled,wt,73,13.184667,0.037333,3000.000000,1328.000000,1
1e-4,pooled,wt,74,13.252333,0.061000,3000.000000,1324.000000,1
1e-4,pooled,wt,75,7.762333,0.000667,3000.000000,1206.000000,1
1e-4,pooled,wt,76,14.786333,0.116000,2.000000,2.000000,0
1e-4,pooled,wt,77,5.167000,0.003000,3000.000000,1894.000000,1
1e-4,pooled,wt,78,13.593667,0.161000,2421.000000,1757.000000,0
1e-4,pooled,wt,79,14.946333,0.215333,1951.000000,1477.000000,0
1e-4,pooled,wt,80,11.092333,0.023000,3000.000000,1870.000000,1
1e-4,pooled,wt,81,9.775000,0.007333,3000.000000,1840.000000,1
1e-4,pooled,wt,82,4.581000,0.000000,3000.000000,186.000000,1
1e-4,pooled,wt,83,11.596667,0.027000,3000.000000,1848.000000,1
1e-4,pooled,wt,84,15.330667,0.186333,2182.000000,602.000000,0
1e-4,pooled,wt,85,17.256333,0.391333,446.000000,299.000000,0
1e-4,pooled,wt,86,15.620333,0.439000,1021.000000,1286.000000,0
1e-4,pooled,wt,87,11.791333,0.104333,2886.000000,1926.000000,0
1e-4,pooled,wt,88,14.566667,0.261333,1488.000000,1102.000000,0
1e-4,pooled,wt,89,2.354667,0.000000,3000.000000,1805.000000,1
1e-4,pooled,wt,90,14.625667,0.295333,1362.000000,1359.000000,0
1e-4,pooled,wt,91,3.063333,0.000000,3000.000000,2547.000000,1
1e-4,pooled,wt,92,10.934667,0.045333,3000.000000,1853.000000,1
1e-4,pooled,wt,93,7.025333,0.001667,3000.000000,1925.000000,1
1e-4,pooled,wt,94,13.942333,0.091000,3000.000000,1356.000000,1
1e-4,pooled,wt,95,15.125667,0.255333,1505.000000,1296.000000,0
1e-4,pooled,wt,96,12.985000,0.081667,3000.000000,1367.000000,1
