half,level,pin,metric,is_primary_metric,seed,wiring_gap,interaction
ppo,wide,readout_width,auc_success,False,161,-0.008667,-0.203667
ppo,wide,readout_width,auc_success,False,162,0.000333,-0.172000
ppo,wide,readout_width,auc_success,False,163,-0.034000,-0.109333
ppo,wide,readout_width,auc_success,False,164,0.055667,0.084333
ppo,wide,readout_width,auc_success,False,165,0.006667,-0.000333
ppo,wide,readout_width,auc_success,False,166,-0.063000,-0.168333
ppo,wide,readout_width,auc_success,False,167,0.013000,-0.010667
ppo,wide,readout_width,auc_success,False,168,0.021667,-0.095333
ppo,wide,readout_width,auc_success,False,169,-0.027667,-0.126333
ppo,wide,readout_width,auc_success,False,170,0.027333,0.055667
ppo,wide,readout_width,auc_success,False,171,-0.004667,0.028333
ppo,wide,readout_width,auc_success,False,172,-0.002667,-0.006667
ppo,wide,readout_width,auc_success,False,173,0.011000,-0.032333
ppo,wide,readout_width,auc_success,False,174,-0.030000,-0.037667
ppo,wide,readout_width,auc_success,False,175,0.022000,-0.058000
ppo,wide,readout_width,auc_success,False,176,-0.004000,-0.090000
ppo,wide,readout_width,episodes_to_30pct_success,True,161,-109.000000,-1419.000000
ppo,wide,readout_width,episodes_to_30pct_success,True,162,135.000000,-1214.000000
ppo,wide,readout_width,episodes_to_30pct_success,True,163,-66.000000,-1090.000000
ppo,wide,readout_width,episodes_to_30pct_success,True,164,144.000000,552.000000
ppo,wide,readout_width,episodes_to_30pct_success,True,165,-149.000000,-184.000000
ppo,wide,readout_width,episodes_to_30pct_success,True,166,-67.000000,-1239.000000
ppo,wide,readout_width,episodes_to_30pct_success,True,167,-4.000000,-1.000000
ppo,wide,readout_width,episodes_to_30pct_success,True,168,-34.000000,-1074.000000
ppo,wide,readout_width,episodes_to_30pct_success,True,169,66.000000,-867.000000
ppo,wide,readout_width,episodes_to_30pct_success,True,170,15.000000,106.000000
ppo,wide,readout_width,episodes_to_30pct_success,True,171,-90.000000,-116.000000
