half,level,pin,metric,is_primary_metric,seed,wiring_gap,interaction
reading,wide,readout_width,auc_success,True,177,-0.163667,0.173000
reading,wide,readout_width,auc_success,True,178,0.448000,0.760667
reading,wide,readout_width,auc_success,True,179,-0.407333,0.215000
reading,wide,readout_width,auc_success,True,180,0.421333,0.494667
reading,wide,readout_width,auc_success,True,181,-0.378000,-0.438000
reading,wide,readout_width,auc_success,True,182,-0.146333,0.408667
reading,wide,readout_width,auc_success,True,183,0.093000,0.569000
reading,wide,readout_width,auc_success,True,184,-0.165333,-0.379000
reading,wide,readout_width,auc_success,True,185,-0.005000,0.434667
reading,wide,readout_width,auc_success,True,186,0.023667,0.356000
reading,wide,readout_width,auc_success,True,187,-0.032000,0.158667
reading,wide,readout_width,auc_success,True,188,-0.281333,-0.192000
reading,wide,readout_width,auc_success,True,189,0.415000,0.366000
reading,wide,readout_width,auc_success,True,190,0.000000,-0.124333
reading,wide,readout_width,auc_success,True,191,0.539333,0.837333
reading,wide,readout_width,auc_success,True,192,0.562333,0.651333
reading,wide,readout_width,episodes_to_30pct_success,False,177,-11.000000,113.000000
reading,wide,readout_width,episodes_to_30pct_success,False,178,-17.000000,2634.000000
reading,wide,readout_width,episodes_to_30pct_success,False,179,-2216.000000,483.000000
reading,wide,readout_width,episodes_to_30pct_success,False,180,1360.000000,1271.000000
reading,wide,readout_width,episodes_to_30pct_success,False,181,-55.000000,-1761.000000
reading,wide,readout_width,episodes_to_30pct_success,False,182,-672.000000,1671.000000
reading,wide,readout_width,episodes_to_30pct_success,False,183,-75.000000,626.000000
reading,wide,readout_width,episodes_to_30pct_success,False,184,-60.000000,8.000000
reading,wide,readout_width,episodes_to_30pct_success,False,185,-625.000000,2156.000000
reading,wide,readout_width,episodes_to_30pct_success,False,186,-172.000000,-48.000000
reading,wide,readout_width,episodes_to_30pct_success,False,187,-6.000000,1887.000000
reading,wide,readout_width,episodes_to_30pct_success,False,188,-2625.000000,-1930.000000
reading,wide,readout_width,episodes_to_30pct_success,False,189,-132.000000,-195.000000
reading,wide,readout_width,episodes_to_30pct_success,False,190,-0.000000,-1453.000000
reading,wide,readout_width,episodes_to_30pct_success,False,191,-74.000000,92.000000
reading,wide,readout_width,episodes_to_30pct_success,False,192,196.000000,559.000000
reading,d2,forward_pass_depth,auc_success,True,177,-0.431667,-0.095000
reading,d2,forward_pass_depth,auc_success,True,178,-0.007333,0.305333
reading,d2,forward_pass_depth,auc_success,True,179,-0.621000,0.001333
reading,d2,forward_pass_depth,auc_success,True,180,-0.017333,0.056000
reading,d2,forward_pass_depth,auc_success,True,181,-0.003667,-0.063667
reading,d2,forward_pass_depth,auc_success,True,182,-0.102667,0.452333
reading,d2,forward_pass_depth,auc_success,True,183,0.003000,0.479000
reading,d2,forward_pass_depth,auc_success,True,184,-0.093000,-0.306667
reading,d2,forward_pass_depth,auc_success,True,185,-0.124667,0.315000
reading,d2,forward_pass_depth,auc_success,True,186,-0.641000,-0.308667
reading,d2,forward_pass_depth,auc_success,True,187,-0.138333,0.052333
reading,d2,forward_pass_depth,auc_success,True,188,0.000000,0.089333
reading,d2,forward_pass_depth,auc_success,True,189,-0.020333,-0.069333
reading,d2,forward_pass_depth,auc_success,True,190,-0.144333,-0.268667
reading,d2,forward_pass_depth,auc_success,True,191,-0.119000,0.179000
reading,d2,forward_pass_depth,auc_success,True,192,-0.255667,-0.166667
reading,d2,forward_pass_depth,episodes_to_30pct_success,False,177,-2201.000000,-2077.000000
