half,level,weight_prior,measured_weight_scale,seed,wt_plateau,wt_floor,rn_plateau,rn_floor,gap_episodes_to_30pct_success,gap_auc_success,primary_metric
ppo,random,random,1.0,113,75.600000,0.000000,74.533333,0.000000,-1212.000000,-0.056667,episodes_to_30pct_success
ppo,random,random,1.0,114,83.600000,0.000000,60.533333,0.000000,468.000000,0.202333,episodes_to_30pct_success
ppo,random,random,1.0,115,67.733333,0.000000,78.400000,0.000000,-895.000000,-0.060000,episodes_to_30pct_success
ppo,random,random,1.0,116,76.533333,0.000000,77.600000,0.000000,1114.000000,0.045333,episodes_to_30pct_success
ppo,random,random,1.0,117,73.866667,0.000000,69.600000,0.000000,398.000000,0.104333,episodes_to_30pct_success
ppo,random,random,1.0,118,75.466667,0.000000,61.200000,0.000000,963.000000,0.105333,episodes_to_30pct_success
ppo,random,random,1.0,119,79.600000,0.000000,71.866667,0.000000,1053.000000,0.089333,episodes_to_30pct_success
ppo,random,random,1.0,120,84.800000,0.000000,73.066667,0.000000,271.000000,0.045667,episodes_to_30pct_success
ppo,sign,measured_signs,1.0,113,72.800000,0.000000,79.333333,0.000000,375.000000,-0.001000,episodes_to_30pct_success
ppo,sign,measured_signs,1.0,114,73.733333,0.000000,62.400000,0.000000,1110.000000,0.118667,episodes_to_30pct_success
ppo,sign,measured_signs,1.0,115,78.000000,0.000000,77.600000,0.000000,13.000000,0.011000,episodes_to_30pct_success
ppo,sign,measured_signs,1.0,116,77.600000,0.000000,74.666667,0.000000,157.000000,0.025000,episodes_to_30pct_success
ppo,sign,measured_signs,1.0,117,74.400000,0.000000,73.466667,0.000000,1321.000000,0.073333,episodes_to_30pct_success
ppo,sign,measured_signs,1.0,118,82.800000,0.000000,65.066667,0.000000,-91.000000,0.143667,episodes_to_30pct_success
ppo,sign,measured_signs,1.0,119,71.200000,0.000000,67.733333,0.000000,-844.000000,0.000333,episodes_to_30pct_success
ppo,sign,measured_signs,1.0,120,80.933333,0.000000,73.066667,0.000000,251.000000,0.106667,episodes_to_30pct_success
ppo,m025,measured,0.25,113,75.733333,0.000000,72.000000,0.000000,-1058.000000,-0.012000,episodes_to_30pct_success
ppo,m025,measured,0.25,114,67.200000,0.000000,62.666667,0.000000,5.000000,0.028000,episodes_to_30pct_success
ppo,m025,measured,0.25,115,79.066667,0.000000,70.933333,0.000000,-1122.000000,-0.056000,episodes_to_30pct_success
ppo,m025,measured,0.25,116,84.266667,0.000000,73.200000,0.000000,80.000000,0.010333,episodes_to_30pct_success
ppo,m025,measured,0.25,117,82.933333,0.000000,76.000000,0.000000,1046.000000,0.042667,episodes_to_30pct_success
ppo,m025,measured,0.25,118,76.400000,0.000000,62.933333,0.000000,125.000000,0.079333,episodes_to_30pct_success
ppo,m025,measured,0.25,119,72.133333,0.000000,79.200000,0.000000,33.000000,-0.012000,episodes_to_30pct_success
ppo,m025,measured,0.25,120,78.133333,0.000000,64.533333,0.000000,279.000000,0.078667,episodes_to_30pct_success
ppo,m05,measured,0.5,113,81.866667,0.000000,74.533333,0.000000,-250.000000,0.046667,episodes_to_30pct_success
ppo,m05,measured,0.5,114,76.400000,0.000000,65.600000,0.000000,7.000000,0.067333,episodes_to_30pct_success
ppo,m05,measured,0.5,115,80.800000,0.000000,72.133333,0.000000,127.000000,0.062667,episodes_to_30pct_success
ppo,m05,measured,0.5,116,75.200000,0.000000,76.266667,0.000000,-844.000000,0.002333,episodes_to_30pct_success
ppo,m05,measured,0.5,117,81.200000,0.000000,79.466667,0.000000,1286.000000,0.126667,episodes_to_30pct_success
ppo,m05,measured,0.5,118,70.266667,0.000000,62.266667,0.000000,1246.000000,0.085333,episodes_to_30pct_success
ppo,m05,measured,0.5,119,74.133333,0.000000,70.000000,0.000000,1097.000000,0.124333,episodes_to_30pct_success
ppo,m05,measured,0.5,120,70.666667,0.000000,73.333333,0.000000,-941.000000,0.006000,episodes_to_30pct_success
ppo,m1,measured,1.0,113,78.933333,0.000000,75.466667,0.000000,238.000000,0.055667,episodes_to_30pct_success
ppo,m1,measured,1.0,114,69.066667,0.000000,68.533333,0.000000,1139.000000,0.069333,episodes_to_30pct_success
ppo,m1,measured,1.0,115,75.466667,0.000000,76.266667,0.000000,-46.000000,0.027667,episodes_to_30pct_success
ppo,m1,measured,1.0,116,79.333333,0.000000,80.533333,0.000000,56.000000,-0.064667,episodes_to_30pct_success
ppo,m1,measured,1.0,117,78.400000,0.000000,73.333333,0.000000,79.000000,0.062667,episodes_to_30pct_success
ppo,m1,measured,1.0,118,81.333333,0.000000,73.600000,0.000000,867.000000,0.091667,episodes_to_30pct_success
ppo,m1,measured,1.0,119,72.666667,0.000000,72.800000,0.000000,184.000000,0.031000,episodes_to_30pct_success
ppo,m1,measured,1.0,120,57.066667,0.000000,76.933333,0.000000,-1147.000000,-0.071667,episodes_to_30pct_success
ppo,m2,measured,2.0,113,71.466667,0.000000,67.466667,0.000000,-936.000000,-0.032333,episodes_to_30pct_success
ppo,m2,measured,2.0,114,74.266667,0.000000,66.400000,0.000000,-3.000000,0.059333,episodes_to_30pct_success
ppo,m2,measured,2.0,115,64.400000,0.000000,76.133333,0.000000,239.000000,-0.024667,episodes_to_30pct_success
ppo,m2,measured,2.0,116,66.666667,0.000000,81.466667,0.000000,-408.000000,-0.121333,episodes_to_30pct_success
ppo,m2,measured,2.0,117,79.466667,0.000000,78.666667,0.000000,8.000000,0.002333,episodes_to_30pct_success
ppo,m2,measured,2.0,118,80.800000,0.000000,65.333333,0.000000,1214.000000,0.112333,episodes_to_30pct_success
ppo,m2,measured,2.0,119,76.933333,0.000000,78.400000,0.000000,-292.000000,-0.042333,episodes_to_30pct_success
ppo,m2,measured,2.0,120,82.800000,0.000000,71.466667,0.000000,-67.000000,0.013333,episodes_to_30pct_success
ppo,m4,measured,4.0,113,73.866667,0.000000,69.866667,0.000000,972.000000,0.038000,episodes_to_30pct_success
ppo,m4,measured,4.0,114,86.400000,0.000000,64.800000,0.000000,361.000000,0.192000,episodes_to_30pct_success
ppo,m4,measured,4.0,115,74.666667,0.000000,72.266667,0.000000,72.000000,0.077000,episodes_to_30pct_success
ppo,m4,measured,4.0,116,74.800000,0.000000,71.066667,0.000000,-944.000000,-0.066667,episodes_to_30pct_success
ppo,m4,measured,4.0,117,73.466667,0.000000,77.200000,0.000000,-1011.000000,0.010333,episodes_to_30pct_success
ppo,m4,measured,4.0,118,73.066667,0.000000,67.200000,0.000000,1161.000000,0.062000,episodes_to_30pct_success
ppo,m4,measured,4.0,119,78.266667,0.000000,82.266667,0.000000,-101.000000,-0.066667,episodes_to_30pct_success
ppo,m4,measured,4.0,120,69.733333,0.000000,73.066667,0.000000,-71.000000,-0.001000,episodes_to_30pct_success
