half,level,weight_prior,measured_weight_scale,seed,wt_plateau,wt_floor,rn_plateau,rn_floor,gap_episodes_to_30pct_success,gap_auc_success,primary_metric
reading,random,random,1.0,121,39.466667,0.000000,57.200000,0.000000,-120.000000,-0.054333,auc_success
reading,random,random,1.0,122,82.800000,0.000000,68.800000,0.000000,256.000000,0.180667,auc_success
reading,random,random,1.0,123,59.600000,0.000000,82.666667,0.000000,-166.000000,-0.262667,auc_success
reading,random,random,1.0,124,60.400000,0.000000,76.800000,0.000000,-352.000000,-0.144667,auc_success
reading,random,random,1.0,125,55.066667,0.000000,91.066667,0.000000,-228.000000,-0.396000,auc_success
reading,random,random,1.0,126,48.666667,0.000000,81.866667,0.000000,-399.000000,-0.348333,auc_success
reading,random,random,1.0,127,2.533333,0.000000,34.800000,0.000000,-2607.000000,-0.252333,auc_success
reading,random,random,1.0,128,80.133333,0.000000,20.133333,0.000000,1904.000000,0.528333,auc_success
reading,sign,measured_signs,1.0,121,11.733333,0.000000,69.466667,0.000000,-2538.000000,-0.389667,auc_success
reading,sign,measured_signs,1.0,122,89.733333,0.000000,55.866667,0.000000,494.000000,0.380000,auc_success
reading,sign,measured_signs,1.0,123,42.133333,0.000000,65.866667,0.000000,-856.000000,-0.202667,auc_success
reading,sign,measured_signs,1.0,124,48.266667,0.000000,85.600000,0.000000,-565.000000,-0.400667,auc_success
reading,sign,measured_signs,1.0,125,69.733333,0.000000,21.733333,0.000000,2486.000000,0.548333,auc_success
reading,sign,measured_signs,1.0,126,79.066667,0.000000,24.133333,0.000000,1209.000000,0.469000,auc_success
reading,sign,measured_signs,1.0,127,16.000000,0.000000,19.333333,0.000000,-1068.000000,-0.026667,auc_success
reading,sign,measured_signs,1.0,128,37.200000,0.000000,92.266667,0.400000,-716.000000,-0.588000,auc_success
reading,m025,measured,0.25,121,28.000000,0.000000,32.800000,0.000000,-413.000000,-0.024333,auc_success
reading,m025,measured,0.25,122,90.800000,0.000000,70.400000,0.000000,187.000000,0.214667,auc_success
reading,m025,measured,0.25,123,22.266667,0.000000,81.333333,0.000000,-336.000000,-0.495333,auc_success
reading,m025,measured,0.25,124,57.066667,0.000000,77.200000,0.000000,-486.000000,-0.235000,auc_success
reading,m025,measured,0.25,125,19.333333,0.000000,22.933333,0.000000,-1906.000000,-0.085333,auc_success
reading,m025,measured,0.25,126,15.066667,0.000000,37.866667,0.000000,-2531.000000,-0.245667,auc_success
reading,m025,measured,0.25,127,5.333333,0.000000,24.533333,0.000000,-2136.000000,-0.199333,auc_success
