half,seed,random_wt_plateau,random_wt_floor,random_rn_plateau,random_rn_floor,random_gap_auc_success,random_gap_episodes_to_30pct_success,m1_wt_plateau,m1_wt_floor,m1_rn_plateau,m1_rn_floor,m1_gap_auc_success,m1_gap_episodes_to_30pct_success,shuffled_wt_plateau,shuffled_wt_floor,shuffled_rn_plateau,shuffled_rn_floor,shuffled_gap_auc_success,shuffled_gap_episodes_to_30pct_success,measured_interaction_auc_success,measured_interaction_episodes_to_30pct_success,placement_interaction_auc_success,placement_interaction_episodes_to_30pct_success
ppo,225,79.066667,0.000000,74.400000,0.000000,0.068667,107.000000,82.400000,0.000000,80.133333,0.000000,0.055667,-44.000000,82.133333,0.000000,68.666667,0.000000,0.063667,1024.000000,-0.013000,-151.000000,-0.008000,-1068.000000
ppo,226,80.000000,0.000000,72.000000,0.000000,0.061000,634.000000,71.200000,0.000000,74.533333,0.000000,0.075333,1194.000000,81.600000,0.000000,79.200000,0.000000,0.020000,181.000000,0.014333,560.000000,0.055333,1013.000000
ppo,227,81.333333,0.000000,63.066667,0.000000,0.107000,-861.000000,75.200000,0.000000,51.600000,0.000000,0.106000,-110.000000,64.266667,0.000000,60.533333,0.000000,0.051000,269.000000,-0.001000,751.000000,0.055000,-379.000000
ppo,228,65.466667,0.000000,75.733333,0.000000,0.060333,192.000000,70.533333,0.000000,74.000000,0.000000,0.068667,969.000000,69.866667,0.000000,73.866667,0.000000,0.050667,1221.000000,0.008333,777.000000,0.018000,-252.000000
ppo,229,74.666667,0.000000,80.000000,0.000000,-0.013667,-173.000000,77.200000,0.000000,75.333333,0.000000,-0.025000,-884.000000,77.466667,0.000000,72.266667,0.000000,0.083000,227.000000,-0.011333,-711.000000,-0.108000,-1111.000000
ppo,230,69.866667,0.000000,69.600000,0.000000,0.115000,189.000000,84.266667,0.000000,75.333333,0.000000,0.110333,735.000000,80.533333,0.000000,74.533333,0.000000,0.091333,978.000000,-0.004667,546.000000,0.019000,-243.000000
ppo,231,75.600000,0.133333,69.066667,0.000000,0.017000,-68.000000,64.933333,0.133333,65.733333,0.000000,-0.017667,-1239.000000,76.133333,0.666667,60.533333,0.266667,0.060000,26.000000,-0.034667,-1171.000000,-0.077667,-1265.000000
ppo,232,79.066667,0.000000,78.800000,0.000000,0.043000,-106.000000,77.866667,0.000000,61.600000,0.000000,0.124000,1250.000000,79.066667,0.000000,70.933333,0.000000,0.081667,1174.000000,0.081000,1356.000000,0.042333,76.000000
ppo,233,86.666667,0.000000,83.600000,0.000000,0.099333,1041.000000,79.600000,0.000000,72.400000,0.000000,0.058667,833.000000,80.400000,0.000000,80.400000,0.000000,0.099333,1189.000000,-0.040667,-208.000000,-0.040667,-356.000000
ppo,234,79.600000,0.000000,70.933333,0.000000,0.056333,110.000000,74.933333,0.000000,62.800000,0.000000,0.089333,200.000000,68.666667,0.000000,71.733333,0.000000,-0.071667,-57.000000,0.033000,90.000000,0.161000,257.000000
