half,seed,full_wt_plateau,full_wt_floor,full_rn_plateau,full_rn_floor,full_gap_auc_success,full_gap_episodes_to_30pct_success,chemical_wt_plateau,chemical_wt_floor,chemical_rn_plateau,chemical_rn_floor,chemical_gap_auc_success,chemical_gap_episodes_to_30pct_success,gap_held_wt_plateau,gap_held_wt_floor,gap_held_rn_plateau,gap_held_rn_floor,gap_held_gap_auc_success,gap_held_gap_episodes_to_30pct_success,gap_junctions_auc_success,a6_move_auc_success,remainder_auc_success,gap_junctions_episodes_to_30pct_success,a6_move_episodes_to_30pct_success,remainder_episodes_to_30pct_success
ppo,305,66.800000,0.000000,74.533333,0.000000,0.024000,1076.000000,66.800000,0.000000,72.666667,0.000000,-0.013667,109.000000,66.800000,0.000000,73.066667,0.000000,0.051667,1059.000000,0.027667,-0.037667,-0.065333,-17.000000,-967.000000,-950.000000
ppo,306,76.533333,0.000000,65.600000,0.000000,0.138667,900.000000,76.533333,0.000000,62.800000,0.000000,0.139000,1091.000000,76.533333,0.000000,70.133333,0.000000,0.082000,745.000000,-0.056667,0.000333,0.057000,-155.000000,191.000000,346.000000
ppo,307,59.866667,0.000000,63.200000,0.000000,0.065667,970.000000,59.866667,0.000000,63.466667,0.000000,0.076333,896.000000,59.866667,0.000000,68.666667,0.000000,-0.007333,-65.000000,-0.073000,0.010667,0.083667,-1035.000000,-74.000000,961.000000
ppo,308,67.066667,0.000000,64.266667,0.000000,0.068667,1107.000000,67.066667,0.000000,76.133333,0.000000,-0.028667,-111.000000,67.066667,0.000000,79.733333,0.000000,-0.071000,-170.000000,-0.139667,-0.097333,0.042333,-1277.000000,-1218.000000,59.000000
ppo,309,76.000000,0.000000,64.533333,0.000000,0.122000,133.000000,76.000000,0.000000,76.133333,0.000000,-0.003333,-255.000000,76.000000,0.000000,77.200000,0.000000,0.001000,-107.000000,-0.121000,-0.125333,-0.004333,-240.000000,-388.000000,-148.000000
ppo,310,79.066667,0.000000,76.666667,0.000000,0.001667,-12.000000,79.066667,0.000000,71.600000,0.000000,0.036000,-944.000000,79.066667,0.000000,78.400000,0.800000,-0.038000,-986.000000,-0.039667,0.034333,0.074000,-974.000000,-932.000000,42.000000
ppo,311,81.600000,0.000000,72.666667,0.000000,0.083667,146.000000,81.600000,0.000000,79.333333,0.000000,0.045000,1024.000000,81.600000,0.000000,75.200000,0.000000,0.071667,1087.000000,-0.012000,-0.038667,-0.026667,941.000000,878.000000,-63.000000
ppo,312,82.266667,0.000000,72.400000,0.000000,-0.006333,-342.000000,82.266667,0.000000,66.266667,0.000000,0.025000,-1184.000000,82.266667,0.000000,73.600000,0.000000,0.036667,-2.000000,0.043000,0.031333,-0.011667,340.000000,-842.000000,-1182.000000
ppo,313,78.400000,0.000000,72.000000,0.000000,0.093333,1182.000000,78.400000,0.000000,66.666667,0.000000,0.142333,1455.000000,78.400000,0.000000,72.133333,0.000000,0.088333,1194.000000,-0.005000,0.049000,0.054000,12.000000,273.000000,261.000000
ppo,314,74.000000,0.000000,77.066667,0.000000,0.035000,1052.000000,74.000000,0.000000,72.666667,0.000000,0.001333,25.000000,74.000000,0.000000,74.133333,0.000000,0.085667,1346.000000,0.050667,-0.033667,-0.084333,294.000000,-1027.000000,-1321.000000
